question,answer
phone number,You can contact Babu at +91 7893044756
email,Reach out via email: babugudurigbk@gmail.com
github,Check out Babu’s projects at https://github.com/BabuGudoori
linkedin,Connect on LinkedIn: https://linkedin.com/in/babugudoori
education,Babu completed his B.Tech in Computer Science & Engineering (AI & ML).
skills,"Skilled in Python, Flask, JavaScript, HTML, CSS, and MySQL."
projects,"Projects include Portfolio website, AI Chatbot Riya, AI Chatbot,AI Agent for Youtube Playing ."
location,"Based in Hyderabad, India."
languages,"Fluent in English, Telugu, and Hindi."
resume,You can view or download the resume from the portfolio website.
hobbies,"Enjoys creating tech projects, listening to music, and exploring AI trends."
portfolio,Visit the full portfolio at https://babugudoori.dev
Riya,"I'm Riya, Babu’s intelligent assistant – ask me anything about him!"
contact,Contact via phone: +91-7893044756 or email: babugeesabsns@gmail.com
interests,"Deeply interested in AI, Web Development, and building innovative software solutions."
goals,Aims to contribute to impactful tech innovations and grow as a software engineer.
availability,Currently seeking exciting software development opportunities!
tell me about babu,Babu is a passionate software engineer who loves building AI-powered web experiences.
who created you,I was created by Babu Gudoori as a smart assistant to engage visitors and share his work.
how are you,"I'm doing great, thanks for asking! Ready to help you learn more about Babu."
can you help me,"Of course! Ask me anything about Babu's projects, skills, or contact details."
your voice is cool,Thank you! I'm here to impress and assist. 😉
are you human,"Not quite – I'm Riya, Babu's digital assistant, powered by smart code!"
contact,You can contact Babu at +91 7893044756 or email babugudurigbk@gmail.com.
gmail,Send an email to babugudurigbk@gmail.com to get in touch.
email address,Babu's email is babugudurigbk@gmail.com.
portfolio,Explore Babu's work at https://babu-gudoori.vercel.app.
website,Check out the portfolio at https://babu-gudoori.vercel.app.
Instagram,Follow Babu on Instagram: https://instagram.com/babu.gudoori.
social media,"You can find Babu on GitHub, LinkedIn, and Instagram."
projects,"Babu has worked on a Portfolio website, AI Chatbot, Sentiment Analysis, and GV Player."
skills,"Babu is skilled in Python, Flask, JavaScript, HTML, CSS, and MySQL."
about chatbot,"Riya is a custom-built assistant with voice/text interaction, created using JavaScript, HTML, and Flask."
assistant name,The assistant's name is Riya — built to impress and help you explore Babu's skills!
